,community.type,Day,method,Treatment,Df,mean.sq,Fs,ps,qs
136,ASV,day4,jaccard,citrate,1,0.057265955,1.550124185,0.211435771,0.276968496
137,ASV,day6,bray,all,7,0.16635562,4.231092482,0.000219996,0.000547545
138,ASV,day6,bray,glucose,1,0.000493532,0.015334005,0.902621948,0.914874734
139,ASV,day6,bray,leucine,1,1.3214114,50.54527666,2.00E-05,5.53E-05
140,ASV,day6,bray,citrate,1,0.062366967,1.515819178,0.21651567,0.280343988
141,ASV,day6,jaccard,all,7,0.188868548,4.913820518,4.00E-05,0.00010795
142,ASV,day6,jaccard,glucose,1,0.004584331,0.196449376,0.659106818,0.709807342
143,ASV,day6,jaccard,leucine,1,1.157038571,60.48288745,2.00E-05,5.53E-05
144,ASV,day6,jaccard,citrate,1,0.043796142,1.350268924,0.244595108,0.314881059
145,ASV,day8,bray,all,7,0.139750568,3.068906569,0.004299914,0.008523723
146,ASV,day8,bray,glucose,1,0.001126618,0.034872563,0.852662947,0.880168203
147,ASV,day8,bray,leucine,1,1.224842409,43.65991124,2.00E-05,5.53E-05
148,ASV,day8,bray,citrate,1,0.388593691,9.589297718,0.002199956,0.004648964
149,ASV,day8,jaccard,all,7,0.157621109,3.685800959,0.00051999,0.001226081
150,ASV,day8,jaccard,glucose,1,7.97E-05,0.00367211,0.951940961,0.956209755
151,ASV,day8,jaccard,leucine,1,0.916527409,48.95963343,2.00E-05,5.53E-05
152,ASV,day8,jaccard,citrate,1,0.29526811,9.782381976,0.001799964,0.003914485
153,ASV,day10,bray,all,7,0.242903347,7.730115271,2.00E-05,5.53E-05
154,ASV,day10,bray,glucose,1,0.147685328,6.380613859,0.01201976,0.021539409
155,ASV,day10,bray,leucine,1,0.479760047,19.93366088,2.00E-05,5.53E-05
156,ASV,day10,bray,citrate,1,0.032756697,1.182679512,0.278354433,0.350288725
157,ASV,day10,jaccard,all,7,0.270129735,9.591257906,2.00E-05,5.53E-05
158,ASV,day10,jaccard,glucose,1,0.129899293,8.029571109,0.004799904,0.009349378
159,ASV,day10,jaccard,leucine,1,0.374782214,21.87928269,2.00E-05,5.53E-05
160,ASV,day10,jaccard,citrate,1,0.036798255,1.797799921,0.179836403,0.236960908
161,ASV,day12,bray,all,7,0.249326855,11.42659459,2.00E-05,5.53E-05
162,ASV,day12,bray,glucose,1,0.050967935,2.456965332,0.116777664,0.161470351
163,ASV,day12,bray,leucine,1,0.508563461,23.21428438,2.00E-05,5.53E-05
164,ASV,day12,bray,citrate,1,0.010777748,0.490841884,0.485730285,0.552302456
165,ASV,day12,jaccard,all,7,0.250071638,12.81203782,2.00E-05,5.53E-05
166,ASV,day12,jaccard,glucose,1,0.053241826,3.303309617,0.068418632,0.104256962
167,ASV,day12,jaccard,leucine,1,0.451582913,25.42077856,2.00E-05,5.53E-05
168,ASV,day12,jaccard,citrate,1,0.014075041,0.815065495,0.368332633,0.441211283
169,PICRUSTs2,all,bray,all,7,0.35886571,65.97732382,2.00E-05,5.53E-05
170,PICRUSTs2,all,bray,glucose,1,0.017690103,2.806905354,0.094598108,0.135833181
171,PICRUSTs2,all,bray,leucine,1,0.741311886,103.1046305,2.00E-05,5.53E-05
172,PICRUSTs2,all,bray,citrate,1,0.254966095,37.29944601,2.00E-05,5.53E-05
173,PICRUSTs2,all,jaccard,all,7,0.715292025,75.06908611,2.00E-05,5.53E-05
174,PICRUSTs2,all,jaccard,glucose,1,0.023297193,2.269140008,0.130837383,0.178704719
175,PICRUSTs2,all,jaccard,leucine,1,1.19750248,101.6532364,2.00E-05,5.53E-05
176,PICRUSTs2,all,jaccard,citrate,1,0.485017091,42.1882149,2.00E-05,5.53E-05
177,PICRUSTs2,day2,bray,all,7,0.008234567,7.667130563,2.00E-05,5.53E-05
178,PICRUSTs2,day2,bray,glucose,1,0.019343864,9.139818381,0.002739945,0.005682849
179,PICRUSTs2,day2,bray,leucine,1,0.058584836,50.45739945,2.00E-05,5.53E-05
180,PICRUSTs2,day2,bray,citrate,1,0.017158002,8.083043753,0.004659907,0.009156308
181,PICRUSTs2,day2,jaccard,all,7,0.023665797,7.941612621,2.00E-05,5.53E-05
182,PICRUSTs2,day2,jaccard,glucose,1,0.044714938,8.914020339,0.003099938,0.006370515
183,PICRUSTs2,day2,jaccard,leucine,1,0.156719494,52.78360781,2.00E-05,5.53E-05
184,PICRUSTs2,day2,jaccard,citrate,1,0.038418668,7.714932098,0.005659887,0.010836023
185,PICRUSTs2,day4,bray,all,7,0.017132979,5.587252815,2.00E-05,5.53E-05
186,PICRUSTs2,day4,bray,glucose,1,0.00058126,0.122825119,0.724925501,0.767712948
